article_doi,venue,article_title,software_label_from_repo,software_label_from_title,repo_url_P1324,swhid_P6138,publication_date_P577,publisher_P123,language_P407,venue_name_P1433,issn,article_doi_url,crossref_ref_url,crossref_stated_in,repo_ref_url_P854,repo_stated_in,retrieved_P813
10.21105/joss.07308,JOSS,DemeterWatch: A Java tool to detect Law of Demeter violations in Java collections,DemeterWatch,DemeterWatch,https://github.com/youngkaneda/DemeterWatch,swh:1:dir:3c126aaaa87548188fb848c711a8bc82c472fbbd;origin=https://github.com/youngkaneda/DemeterWatch;visit=swh:1:snp:c8a35599550a850bf64124b5553a80afed82d60c;anchor=swh:1:rev:48070022a6da9e0eea98086d24d1372fb2200522,2025-03-15,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.07308,https://api.crossref.org/works/10.21105/joss.07308,Crossref,https://joss.theoj.org/papers/10.21105/joss.07308.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.01338,JOSS,uJVM: Lightweight Java Virtual Machine for embedded systems,uJVM,uJVM,https://github.com/Samsung/uJVM/,,2019-04-19,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.01338,https://api.crossref.org/works/10.21105/joss.01338,Crossref,https://joss.theoj.org/papers/10.21105/joss.01338.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.01229,JOSS,Model dispersion with PRISM; an alternative to MCMC for rapid analysis of models,PRISM,,https://github.com/1313e/PRISM,swh:1:dir:9bc75ab430ad3c6d7b0b7fe8f803d5080d6bce89;origin=https://github.com/1313e/PRISM;visit=swh:1:snp:7af8c619b8b3583c6681b17e7ae5582a26134884;anchor=swh:1:rev:7ae4bad99556d536a39ea672ea06940a4cc1d040,2019-06-10,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.01229,https://api.crossref.org/works/10.21105/joss.01229,Crossref,https://joss.theoj.org/papers/10.21105/joss.01229.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.01444,JOSS,modelDown: automated website generator with interpretable documentation for predictive machine learning models,modelDown,modelDown,https://github.com/MI2DataLab/modelDown,swh:1:dir:ba523e9c9df652b78bbbbfa0011d183c5920bb77;origin=https://github.com/MI2DataLab/modelDown;visit=swh:1:snp:a2e5ce0e082dd66cd79e25721bd648e7e4b24116;anchor=swh:1:rev:d1840bc0636f6f3b315c5b3918c2c245e322e6ac,2019-06-27,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.01444,https://api.crossref.org/works/10.21105/joss.01444,Crossref,https://joss.theoj.org/papers/10.21105/joss.01444.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.00194,JOSS,lawn: An R client for the Turf Javascript Library for Geospatial Analysis,lawn,lawn,https://github.com/ropensci/lawn,swh:1:dir:4154ba98e34a8fcf07a7e36af9e8134afece2913;origin=https://github.com/ropensci/lawn;visit=swh:1:snp:4c8f220568cdb9e847562e5cf0b64eca3b9c29be;anchor=swh:1:rev:284c1271f0d308c48e52c2c90c7077b1019da2a7,2017-03-07,The Open Journal,en,The Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.00194,https://api.crossref.org/works/10.21105/joss.00194,Crossref,https://joss.theoj.org/papers/10.21105/joss.00194.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.00650,JOSS,OpenEPSim: An Open Exclusion Process Simulation Tool,OpenEPSim,OpenEPSim,https://github.com/caley/OpenEPSim,swh:1:dir:c887df0c63eff2fdfafad469c2f6ac2999c70711;origin=https://github.com/caley/OpenEPSim;visit=swh:1:snp:3f1496183de18da32e331534ecb3b9b715b1b143;anchor=swh:1:rev:7e09553e6bd7750f808546745e6a4e819193313b,2018-04-15,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.00650,https://api.crossref.org/works/10.21105/joss.00650,Crossref,https://joss.theoj.org/papers/10.21105/joss.00650.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.00060,JOSS,hebbRNN: A Reward-Modulated Hebbian Learning Rule for Recurrent Neural Networks,hebbRNN,hebbRNN,https://github.com/JonathanAMichaels/hebbRNN,swh:1:dir:ed42c0ea8251c61dbb445fb2a817c8a51fd71e47;origin=https://github.com/JonathanAMichaels/hebbRNN;visit=swh:1:snp:a688072c10458e654829feaf896fdde06ca9e410;anchor=swh:1:rev:77fa562433349dedae492a3a33cf394a3897e4b2,2016-09-23,The Open Journal,en,The Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.00060,https://api.crossref.org/works/10.21105/joss.00060,Crossref,https://joss.theoj.org/papers/10.21105/joss.00060.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.00869,JOSS,js-emass: A flexible JavaScript implementation of the emass algorithm,js-emass,js-emass,https://github.com/emptyport/js-emass,swh:1:dir:d18f826f259684e89f70882cee2156d0b8224a7b;origin=https://github.com/emptyport/js-emass;visit=swh:1:snp:73186d132769f6ccd97d162328ea654713170c63;anchor=swh:1:rev:f45063e3a4faab98f4a43a144c3b430161a35109,2018-08-22,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.00869,https://api.crossref.org/works/10.21105/joss.00869,Crossref,https://joss.theoj.org/papers/10.21105/joss.00869.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.03619,JOSS,sacio: A library for Seismic Analysis Code data files,sacio,sacio,https://github.com/savage13/sacio,swh:1:dir:04aef8ec258d83466d9e0335aa3b4a4a70f4e3ee;origin=https://github.com/savage13/sacio;visit=swh:1:snp:7ff36784a886142fe76f6b773b4e3f495b34e752;anchor=swh:1:rev:7481a79f1732005990490c2127e6d4b14df50dd1,2021-11-23,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.03619,https://api.crossref.org/works/10.21105/joss.03619,Crossref,https://joss.theoj.org/papers/10.21105/joss.03619.json,Journal of Open Source Software API,18 June 2026
10.21105/joss.06825,JOSS,An Open-Source Tool for Generating Domain-Specific Accelerators for Resource-Constrained Computing,d2,,https://github.com/dtkerns/d2,swh:1:dir:f08fc0c948a1dcaba8c8408c7e019b08ce1f24dc;origin=https://github.com/dtkerns/d2;visit=swh:1:snp:77cc744fb988fb9e4dfbcbc06416d724a874f954;anchor=swh:1:rev:ce0c7bdcdcb738187bce8502e5757bc9ad43f7b4,2024-10-13,The Open Journal,en,Journal of Open Source Software,2475-9066,https://doi.org/10.21105/joss.06825,https://api.crossref.org/works/10.21105/joss.06825,Crossref,https://joss.theoj.org/papers/10.21105/joss.06825.json,Journal of Open Source Software API,18 June 2026
