article_doi,venue,article_title,software_label_from_repo,software_label_from_title,repo_url_P1324,swhid_P6138,publication_date_P577,publisher_P123,language_P407,venue_name_P1433,issn,article_doi_url,crossref_ref_url,crossref_stated_in,repo_ref_url_P854,repo_stated_in,retrieved_P813
10.1145/3639261,SIGMOD,Proximity Queries on Point Clouds using Rapid Construction Path Oracle,pointcloudpathcode,,https://github.com/yanyinzhao/pointcloudpathcode,swh:1:dir:140eab3e0b8ee9f3e0f7e17309164e3d7ff3784e;origin=https://github.com/yanyinzhao/pointcloudpathcode;visit=swh:1:snp:573118f922982a2d0e74ff8a0a4898862191ed19;anchor=swh:1:rev:9673d76eb3890f84c12ff4f320927112990646c1,2024-03-12,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3639261,https://api.crossref.org/works/10.1145/3639261,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717036,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3654964,SIGMOD,PimPam: Efficient Graph Pattern Matching on Real Processing-in-Memory Hardware,pimpam-reproduce,PimPam,https://github.com/tonycaisy/pimpam-reproduce,swh:1:dir:da7d34392888f720d0c44910ce7a5911bd57db62;origin=https://github.com/tonycaisy/pimpam-reproduce;visit=swh:1:snp:c3dba7db51845cdf7a045349de0f887e9802416d;anchor=swh:1:rev:3c48293ea36cec2b128781f0df3e459818cfbf41,2024-05-29,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3654964,https://api.crossref.org/works/10.1145/3654964,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717042,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3639257,SIGMOD,Optimizing Distributed Protocols with Query Rewrites,autocomp,,https://github.com/rithvikp/autocomp,swh:1:dir:09052400b2ad9ec95d7903a60666fa86934ec6d6;origin=https://github.com/rithvikp/autocomp;visit=swh:1:snp:2dccd7a0e5b252c6040cf05fd995817da5f30a47;anchor=swh:1:rev:bfe775a880badd23d57b96d0e109adb5646da06f,2024-03-12,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3639257,https://api.crossref.org/works/10.1145/3639257,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717041,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3626731,SIGMOD,Hierarchical Cut Labelling - Scaling Up Distance Queries on Road Networks,road-networks,Hierarchical Cut Labelling,https://github.com/henningkoehlernz/road-networks,swh:1:dir:b0b37482968b7a026e19d6fec7a44fdc0ba9e475;origin=https://github.com/henningkoehlernz/road-networks;visit=swh:1:snp:6bed864363b7ce7827c6e13be1194b603fb427cd;anchor=swh:1:rev:4721deb8b5a1c00524a1ba543a6394a70cad55a0,2023-12-08,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3626731,https://api.crossref.org/works/10.1145/3626731,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717054,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3626768,SIGMOD,Proving Query Equivalence Using Linear Integer Arithmetic,sqlsolver-artifacts,,https://github.com/sjtu-ipads/sqlsolver-artifacts,swh:1:dir:bac97edd67af1bfc696aa15e25004948cd78a0a2;origin=https://github.com/sjtu-ipads/sqlsolver-artifacts;visit=swh:1:snp:cec82044e737adae7439c819860c07c16daf06e1;anchor=swh:1:rev:a73f9586bed0283728483426cab898bc9e24d1c5,2023-12-08,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3626768,https://api.crossref.org/works/10.1145/3626768,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717037,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3654940,SIGMOD,Faster Algorithms for Fair Max-Min Diversification in R d,fairdiversityandclustering,,https://github.com/uic-db-theory/fairdiversityandclustering,swh:1:dir:f3f15e682069374c56bef76424e2d11d4492c03d;origin=https://github.com/uic-db-theory/fairdiversityandclustering;visit=swh:1:snp:6e379dcc50bc3e197ab3ea98d71c515faaa7bbbe;anchor=swh:1:rev:0a7225cb4642ea06d20bd5c0e7ddebdffc875ab8,2024-05-29,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3654940,https://api.crossref.org/works/10.1145/3654940,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717058,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3654919,SIGMOD,Can Learned Indexes be Built Efficiently? A Deep Dive into Sampling Trade-offs,basil,,https://github.com/dku-starlab/basil,swh:1:dir:7a8c56ebbf352a34e91b7d5b469f0d96bddf4ffa;origin=https://github.com/dku-starlab/basil;visit=swh:1:snp:2611d343f47575812f3534251c7382e86938ee07;anchor=swh:1:rev:cc600dde8dd5019328d7a4a07dfc7dd51258648f,2024-05-29,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3654919,https://api.crossref.org/works/10.1145/3654919,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717055,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3654969,SIGMOD,Query Refinement for Diverse Top-k Selection,diverse-top-k,,https://github.com/fsalc/diverse-top-k,swh:1:dir:991efe9a977302b95a12a3edc8ef28de9a352090;origin=https://github.com/fsalc/diverse-top-k;visit=swh:1:snp:b3d427cd67b2bc3f9d207389f97d07c4c1f73620;anchor=swh:1:rev:bca4b64a84d35b2553e61a59e5e9e214742792d0,2024-05-29,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3654969,https://api.crossref.org/works/10.1145/3654969,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717052,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3639258,SIGMOD,Grafite: Taming Adversarial Queries with Optimal Range Filters,grafite-experiments,Grafite,https://github.com/marcocosta97/grafite-experiments,swh:1:dir:bfade54ab2d1a3b3133e88e2d07c60931da27845;origin=https://github.com/marcocosta97/grafite-experiments;visit=swh:1:snp:498fadeb2030175e703df789c253a41a6cf79914;anchor=swh:1:rev:4a1c277fb1bd73b18cea4fcc084c0d105a527b31,2024-03-12,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3639258,https://api.crossref.org/works/10.1145/3639258,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717045,SIGMOD Availability & Reproducibility Initiative,18 June 2026
10.1145/3626729,SIGMOD,FACET: Robust Counterfactual Explanation Analytics,facet,FACET,https://github.com/petervannostrand/facet,swh:1:dir:68099eb6a9c5a723a20175dd56a58f1623293f34;origin=https://github.com/petervannostrand/facet;visit=swh:1:snp:118fdcf44cb946abcf0e463c021f5fb0ed395c01;anchor=swh:1:rev:70d981fcae021d68cbec848bb87f813fc7ed942c,2023-12-08,Association for Computing Machinery (ACM),en,Proceedings of the ACM on Management of Data,2836-6573,https://doi.org/10.1145/3626729,https://api.crossref.org/works/10.1145/3626729,Crossref,https://dl.acm.org/doi/10.1145/3687998.3717053,SIGMOD Availability & Reproducibility Initiative,18 June 2026
