article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2015.49,IPOL,1,Antoni Buades
10.5201/ipol.2015.49,IPOL,2,Gloria Haro
10.5201/ipol.2015.49,IPOL,3,Enric Meinhardt-Llopis
10.5201/ipol.2013.41,IPOL,1,Ana-Belen Petro
10.5201/ipol.2013.41,IPOL,2,Catalina Sbert
10.5201/ipol.2011.g_gapd,IPOL,1,Pascal Getreuer
10.5201/ipol.2016.177,IPOL,1,Samy Blusseau
10.5201/ipol.2016.177,IPOL,2,Rafael Grompone von Gioi
10.5201/ipol.2016.140,IPOL,1,Thierry Guillemot
10.5201/ipol.2016.140,IPOL,2,Julie Delon
10.5201/ipol.2019.272,IPOL,1,Jose-Luis Lisani
10.5201/ipol.2019.272,IPOL,2,Silvia Ramis
10.5201/ipol.2017.209,IPOL,1,Javier Sánchez
10.5201/ipol.2023.443,IPOL,1,Thomas Eboli
10.5201/ipol.2023.467,IPOL,1,Dariusz Borkowski
10.5201/ipol.2021.390,IPOL,1,Tina Nikoukhah
10.5201/ipol.2021.390,IPOL,2,Jérémy Anger
10.5201/ipol.2021.390,IPOL,3,Miguel Colom
10.5201/ipol.2021.390,IPOL,4,Jean-Michel Morel
10.5201/ipol.2021.390,IPOL,5,Rafael Grompone von Gioi
10.5201/ipol.2019.234,IPOL,1,Christoph Dalitz
10.5201/ipol.2019.234,IPOL,2,Jens Wilberg
10.5201/ipol.2019.234,IPOL,3,Lukas Aymans
10.5201/ipol.2018.196,IPOL,1,Silvina Pistonesi
10.5201/ipol.2018.196,IPOL,2,Jorge Martinez
10.5201/ipol.2018.196,IPOL,3,Silvia Maria Ojeda
10.5201/ipol.2018.196,IPOL,4,Ronny Vallejos
10.5201/ipol.2025.560,IPOL,1,Ariel E. Stassi
10.5201/ipol.2025.560,IPOL,2,J. Matías Di Martino
10.5201/ipol.2025.560,IPOL,3,Gregory Randall
10.5201/ipol.2014.67,IPOL,1,Laurent Provot
10.5201/ipol.2014.67,IPOL,2,Yan Gerard
10.5201/ipol.2014.67,IPOL,3,Fabien Feschet
10.5201/ipol.2015.69,IPOL,1,Edouard Oyallon
10.5201/ipol.2015.69,IPOL,2,Julien Rabin
10.5201/ipol.2015.146,IPOL,1,Carlo de Franchis
10.5201/ipol.2015.146,IPOL,2,Enric Meinhardt-Llopis
10.5201/ipol.2015.146,IPOL,3,Daniel Greslou
10.5201/ipol.2015.146,IPOL,4,Gabriele Facciolo
10.5201/ipol.2012.abmh-rtmsa,IPOL,1,Luis Alvarez
10.5201/ipol.2012.abmh-rtmsa,IPOL,2,Luis Baumela
10.5201/ipol.2012.abmh-rtmsa,IPOL,3,Pablo Márquez-Neila
10.5201/ipol.2012.abmh-rtmsa,IPOL,4,Pedro Henríquez
10.5201/ipol.2022.423,IPOL,1,Rafael Grompone von Gioi
10.5201/ipol.2022.423,IPOL,2,Gregory Randall
10.5201/ipol.2014.84,IPOL,1,Jean-Michel Morel
10.5201/ipol.2014.84,IPOL,2,Ana-Belen Petro
10.5201/ipol.2014.84,IPOL,3,Catalina Sbert
10.5201/ipol.2023.356,IPOL,1,Mariano Rodríguez
10.5201/ipol.2023.356,IPOL,2,Gabriele Facciolo
10.5201/ipol.2023.356,IPOL,3,Jean-Michel Morel
10.5201/ipol.2022.431,IPOL,1,Quentin Bammey
10.5201/ipol.2023.414,IPOL,1,Rémy Abergel
10.5201/ipol.2023.414,IPOL,2,Mehdi Boussâa
10.5201/ipol.2023.414,IPOL,3,Sylvain Durand
10.5201/ipol.2023.414,IPOL,4,Yves-Michel Frapart
10.5201/ipol.2012.l-bm3d,IPOL,1,Marc Lebrun
10.5201/ipol.2026.636,IPOL,1,Dariusz Borkowski
10.5201/ipol.2014.103,IPOL,1,Vincent Le Guen
10.5201/ipol.2020.245,IPOL,1,Tristan Dagobert
10.5201/ipol.2020.245,IPOL,2,Rafael Grompone von Gioi
10.5201/ipol.2020.245,IPOL,3,Jean-Michel Morel
10.5201/ipol.2020.245,IPOL,4,Carlo de Franchis
10.5201/ipol.2022.399,IPOL,1,Tina Nikoukhah
10.5201/ipol.2022.399,IPOL,2,Miguel Colom
10.5201/ipol.2022.399,IPOL,3,Jean-Michel Morel
10.5201/ipol.2022.399,IPOL,4,Rafael Grompone von Gioi
10.5201/ipol.2019.251,IPOL,1,Ioannis Bargiotas
10.5201/ipol.2019.251,IPOL,2,Julien Audiffren
10.5201/ipol.2019.251,IPOL,3,Nicolas Vayatis
10.5201/ipol.2019.251,IPOL,4,Pierre-Paul Vidal
10.5201/ipol.2019.251,IPOL,5,Alain P. Yelnik
10.5201/ipol.2019.251,IPOL,6,Damien Ricard
10.5201/ipol.2018.229,IPOL,1,Javier Sánchez
10.5201/ipol.2018.229,IPOL,2,Nelson Monzón
10.5201/ipol.2018.229,IPOL,3,Agustín Salgado
10.5201/ipol.2024.481,IPOL,1,Thibaud Ehret
10.5201/ipol.2024.481,IPOL,2,Jean-Michel Morel
10.5201/ipol.2012.g-dwcs,IPOL,1,Pascal Getreuer
10.5201/ipol.2018.173,IPOL,1,Pablo Negri
10.5201/ipol.2021.342,IPOL,1,Rafael Grompone von Gioi
10.5201/ipol.2021.342,IPOL,2,Charles Hessel
10.5201/ipol.2021.342,IPOL,3,Tristan Dagobert
10.5201/ipol.2021.342,IPOL,4,Jean-Michel Morel
10.5201/ipol.2021.342,IPOL,5,Carlo de Franchis
10.5201/ipol.2020.305,IPOL,1,Oliver Boulant
10.5201/ipol.2020.305,IPOL,2,Mathilde Fekom
10.5201/ipol.2020.305,IPOL,3,Camille Pouchol
10.5201/ipol.2020.305,IPOL,4,Theodoros Evgeniou
10.5201/ipol.2020.305,IPOL,5,Anton Ovchinnikov
10.5201/ipol.2020.305,IPOL,6,Raphaël Porcher
10.5201/ipol.2020.305,IPOL,7,Nicolas Vayatis
10.5201/ipol.2011.blmv_ct,IPOL,1,Antoni Buades
10.5201/ipol.2011.blmv_ct,IPOL,2,Triet Le
10.5201/ipol.2011.blmv_ct,IPOL,3,Jean-Michel Morel
10.5201/ipol.2011.blmv_ct,IPOL,4,Luminita Vese
10.5201/ipol.2023.441,IPOL,1,Alvaro Gómez
10.5201/ipol.2022.373,IPOL,1,Robin Gay
10.5201/ipol.2022.373,IPOL,2,Jérémie Lecoutre
10.5201/ipol.2022.373,IPOL,3,Nicolas Menouret
10.5201/ipol.2022.373,IPOL,4,Arthur Morillon
10.5201/ipol.2022.373,IPOL,5,Pascal Monasse
10.5201/ipol.2017.148,IPOL,1,José Lezama
10.5201/ipol.2017.148,IPOL,2,Gregory Randall
10.5201/ipol.2017.148,IPOL,3,Rafael Grompone von Gioi
10.5201/ipol.2023.497,IPOL,1,Cyril Voisard
10.5201/ipol.2023.497,IPOL,2,Nicolas de l’Escalopier
10.5201/ipol.2023.497,IPOL,3,Albane Moreau
10.5201/ipol.2023.497,IPOL,4,Alienor Vienne-Jumeau
10.5201/ipol.2023.497,IPOL,5,Damien Ricard
10.5201/ipol.2023.497,IPOL,6,Laurent Oudre
10.5201/ipol.2019.250,IPOL,1,Pierre Cettour-Janet
10.5201/ipol.2019.250,IPOL,2,Clément Cazorla
10.5201/ipol.2019.250,IPOL,3,Vaia Machairas
10.5201/ipol.2019.250,IPOL,4,Quentin Delannoy
10.5201/ipol.2019.250,IPOL,5,Nathalie Bednarek
10.5201/ipol.2019.250,IPOL,6,François Rousseau
10.5201/ipol.2019.250,IPOL,7,Etienne Décencière
10.5201/ipol.2019.250,IPOL,8,Nicolas Passat
10.5201/ipol.2021.352,IPOL,1,Roger Marí
10.5201/ipol.2021.352,IPOL,2,Carlo de Franchis
10.5201/ipol.2021.352,IPOL,3,Enric Meinhardt-Llopis
10.5201/ipol.2021.352,IPOL,4,Jérémy Anger
