article_doi,venue,series_ordinal_P1545,author_name_P2093
10.21105/joss.07308,JOSS,1,Juan Pablo P. de Aquino
10.21105/joss.07308,JOSS,2,José Fernando de M. Firmino
10.21105/joss.07308,JOSS,3,Diogo D. Moreira
10.21105/joss.07308,JOSS,4,Ricardo de S. Job
10.21105/joss.01338,JOSS,1,Oleksandr Moliavko
10.21105/joss.01338,JOSS,2,Taras Drozdovskyi
10.21105/joss.01338,JOSS,3,Vitalii Petrychenko
10.21105/joss.01338,JOSS,4,Oleg Kopysov
10.21105/joss.01229,JOSS,1,Ellert van der Velden
10.21105/joss.01444,JOSS,1,Kamil Romaszko
10.21105/joss.01444,JOSS,2,Magda Tatarynowicz
10.21105/joss.01444,JOSS,3,Mateusz Urbański
10.21105/joss.01444,JOSS,4,Przemysław Biecek
10.21105/joss.00194,JOSS,1,Scott Chamberlain
10.21105/joss.00194,JOSS,2,Jeffrey W. Hollister
10.21105/joss.00650,JOSS,1,Caley Finn
10.21105/joss.00060,JOSS,1,Jonathan A Michaels
10.21105/joss.00060,JOSS,2,Hansjörg Scherberger
10.21105/joss.00869,JOSS,1,Michael T Porter
10.21105/joss.03619,JOSS,1,Brian Savage
10.21105/joss.06825,JOSS,1,David T Kerns
10.21105/joss.06825,JOSS,2,Tosiron Adegbija
10.21105/joss.06880,JOSS,1,Aadya A. Chinubhai
10.21105/joss.03596,JOSS,1,Nicholas Gorman
10.21105/joss.03596,JOSS,2,Anna Bruce
10.21105/joss.03596,JOSS,3,Iain MacGill
10.21105/joss.02449,JOSS,1,Lukas Adamowicz
10.21105/joss.02449,JOSS,2,Shyamal Patel
10.21105/joss.07441,JOSS,1,Humberto Medina
10.21105/joss.07441,JOSS,2,Christopher D. Ellis
10.21105/joss.07441,JOSS,3,Tom Mazin
10.21105/joss.07441,JOSS,4,Oscar Osborn
10.21105/joss.07441,JOSS,5,Timothy Ward
10.21105/joss.07441,JOSS,6,Stephen Ambrose
10.21105/joss.07441,JOSS,7,Svetlana Aleksandrova
10.21105/joss.07441,JOSS,8,Benjamin Rothwell
10.21105/joss.07441,JOSS,9,Carol Eastwick
10.21105/joss.01411,JOSS,1,Stefanie Lueck
10.21105/joss.01411,JOSS,2,Dimitar Douchkov
10.21105/joss.02284,JOSS,1,Vanessa Sochat
10.21105/joss.07316,JOSS,1,Deron Smith
