article_doi,venue,series_ordinal_P1545,author_name_P2093
10.1145/3639261,SIGMOD,1,Yinzhao Yan
10.1145/3639261,SIGMOD,2,Raymond Chi-Wing Wong
10.1145/3654964,SIGMOD,1,Shuangyu Cai
10.1145/3654964,SIGMOD,2,Boyu Tian
10.1145/3654964,SIGMOD,3,Huanchen Zhang
10.1145/3654964,SIGMOD,4,Mingyu Gao
10.1145/3639257,SIGMOD,1,David C.Y. Chu
10.1145/3639257,SIGMOD,2,Rithvik Panchapakesan
10.1145/3639257,SIGMOD,3,Shadaj Laddad
10.1145/3639257,SIGMOD,4,Lucky E. Katahanas
10.1145/3639257,SIGMOD,5,Chris Liu
10.1145/3639257,SIGMOD,6,Kaushik Shivakumar
10.1145/3639257,SIGMOD,7,Natacha Crooks
10.1145/3639257,SIGMOD,8,Joseph M. Hellerstein
10.1145/3639257,SIGMOD,9,Heidi Howard
10.1145/3626731,SIGMOD,1,Muhammad Farhan
10.1145/3626731,SIGMOD,2,Henning Koehler
10.1145/3626731,SIGMOD,3,Robert Ohms
10.1145/3626731,SIGMOD,4,Qing Wang
10.1145/3626768,SIGMOD,1,Haoran Ding
10.1145/3626768,SIGMOD,2,Zhaoguo Wang
10.1145/3626768,SIGMOD,3,Yicun Yang
10.1145/3626768,SIGMOD,4,Dexin Zhang
10.1145/3626768,SIGMOD,5,Zhenglin Xu
10.1145/3626768,SIGMOD,6,Haibo Chen
10.1145/3626768,SIGMOD,7,Ruzica Piskac
10.1145/3626768,SIGMOD,8,Jinyang Li
10.1145/3654940,SIGMOD,1,Yash Kurkure
10.1145/3654940,SIGMOD,2,Miles Shamo
10.1145/3654940,SIGMOD,3,Joseph Wiseman
10.1145/3654940,SIGMOD,4,Sainyam Galhotra
10.1145/3654940,SIGMOD,5,Stavros Sintos
10.1145/3654919,SIGMOD,1,Minguk Choi
10.1145/3654919,SIGMOD,2,Seehwan Yoo
10.1145/3654919,SIGMOD,3,Jongmoo Choi
10.1145/3654969,SIGMOD,1,Felix S. Campbell
10.1145/3654969,SIGMOD,2,Alon Silberstein
10.1145/3654969,SIGMOD,3,Julia Stoyanovich
10.1145/3654969,SIGMOD,4,Yuval Moskovitch
10.1145/3639258,SIGMOD,1,Marco Costa
10.1145/3639258,SIGMOD,2,Paolo Ferragina
10.1145/3639258,SIGMOD,3,Giorgio Vinciguerra
10.1145/3626729,SIGMOD,1,Peter M. VanNostrand
10.1145/3626729,SIGMOD,2,Huayi Zhang
10.1145/3626729,SIGMOD,3,Dennis M. Hofmann
10.1145/3626729,SIGMOD,4,Elke A. Rundensteiner
10.1145/3639306,SIGMOD,1,Hailin Zhang
10.1145/3639306,SIGMOD,2,Zirui Liu
10.1145/3639306,SIGMOD,3,Boxuan Chen
10.1145/3639306,SIGMOD,4,Yikai Zhao
10.1145/3639306,SIGMOD,5,Tong Zhao
10.1145/3639306,SIGMOD,6,Tong Yang
10.1145/3639306,SIGMOD,7,Bin Cui
10.1145/3654980,SIGMOD,1,Curtis Dyreson
10.1145/3654980,SIGMOD,2,Amani Shatnawi
10.1145/3654980,SIGMOD,3,Sourav S. Bhowmick
10.1145/3654980,SIGMOD,4,Vishal Sharma
10.1145/3626761,SIGMOD,1,Shufan Zhang
10.1145/3626761,SIGMOD,2,Xi He
10.1145/3639268,SIGMOD,1,Xianzhi Zeng
10.1145/3639268,SIGMOD,2,Shuhao Zhang
10.1145/3639268,SIGMOD,3,Hongbin Zhong
10.1145/3639268,SIGMOD,4,Hao Zhang
10.1145/3639268,SIGMOD,5,Mian Lu
10.1145/3639268,SIGMOD,6,Zhao Zheng
10.1145/3639268,SIGMOD,7,Yuqiang Chen
10.1145/3626739,SIGMOD,1,Zichen Zhu
10.1145/3626739,SIGMOD,2,Xiao Hu
10.1145/3626739,SIGMOD,3,Manos Athanassoulis
10.1145/3639313,SIGMOD,1,Stefanos Baziotis
10.1145/3639313,SIGMOD,2,Daniel Kang
10.1145/3639313,SIGMOD,3,Charith Mendis
10.1145/3617331,SIGMOD,1,Kaiqiang Yu
10.1145/3617331,SIGMOD,2,Cheng Long
10.1145/3588913,SIGMOD,1,Yancan Mao
10.1145/3588913,SIGMOD,2,Jianjun Zhao
10.1145/3588913,SIGMOD,3,Shuhao Zhang
10.1145/3588913,SIGMOD,4,Haikun Liu
10.1145/3588913,SIGMOD,5,Volker Markl
