article_doi,venue,series_ordinal_P1545,author_name_P2093
10.1016/j.softx.2015.03.001,SoftwareX,1,Andre Merzky
10.1016/j.softx.2015.03.001,SoftwareX,2,Ole Weidner
10.1016/j.softx.2015.03.001,SoftwareX,3,Shantenu Jha
10.1016/j.softx.2015.04.001,SoftwareX,1,Marcus D. Hanwell
10.1016/j.softx.2015.04.001,SoftwareX,2,Kenneth M. Martin
10.1016/j.softx.2015.04.001,SoftwareX,3,Aashish Chaudhary
10.1016/j.softx.2015.04.001,SoftwareX,4,Lisa S. Avila
10.1016/j.softx.2015.09.001,SoftwareX,1,S. Youssefi
10.1016/j.softx.2015.09.001,SoftwareX,2,S. Denei
10.1016/j.softx.2015.09.001,SoftwareX,3,F. Mastrogiovanni
10.1016/j.softx.2015.09.001,SoftwareX,4,G. Cannata
10.1016/j.softx.2015.10.001,SoftwareX,1,Spencer J. Ingley
10.1016/j.softx.2015.10.001,SoftwareX,2,Mohammad Rahmani Asl
10.1016/j.softx.2015.10.001,SoftwareX,3,Chengde Wu
10.1016/j.softx.2015.10.001,SoftwareX,4,Rongfeng Cui
10.1016/j.softx.2015.10.001,SoftwareX,5,Mahmoud Gadelhak
10.1016/j.softx.2015.10.001,SoftwareX,6,Wen Li
10.1016/j.softx.2015.10.001,SoftwareX,7,Ji Zhang
10.1016/j.softx.2015.10.001,SoftwareX,8,Jon Simpson
10.1016/j.softx.2015.10.001,SoftwareX,9,Chelsea Hash
10.1016/j.softx.2015.10.001,SoftwareX,10,Trisha Butkowski
10.1016/j.softx.2015.10.001,SoftwareX,11,Thor Veen
10.1016/j.softx.2015.10.001,SoftwareX,12,Jerald B. Johnson
10.1016/j.softx.2015.10.001,SoftwareX,13,Wei Yan
10.1016/j.softx.2015.10.001,SoftwareX,14,Gil G. Rosenthal
10.1016/j.softx.2015.10.003,SoftwareX,1,Shaowen Wang
10.1016/j.softx.2015.10.003,SoftwareX,2,Yan Liu
10.1016/j.softx.2015.10.003,SoftwareX,3,Anand Padmanabhan
10.1016/j.softx.2015.11.001,SoftwareX,1,Ru Zhu
10.1016/j.softx.2016.01.001,SoftwareX,1,Álvaro López García
10.1016/j.softx.2016.01.001,SoftwareX,2,Enol Fernández del Castillo
10.1016/j.softx.2016.01.001,SoftwareX,3,Pablo Orviz Fernández
10.1016/j.softx.2016.02.001,SoftwareX,1,Simon Kiesewetter
10.1016/j.softx.2016.02.001,SoftwareX,2,Rodney Polkinghorne
10.1016/j.softx.2016.02.001,SoftwareX,3,Bogdan Opanchuk
10.1016/j.softx.2016.02.001,SoftwareX,4,Peter D. Drummond
10.1016/j.softx.2016.01.002,SoftwareX,1,Elisabeth Schold Linnér
10.1016/j.softx.2016.01.002,SoftwareX,2,Max Morén
10.1016/j.softx.2016.01.002,SoftwareX,3,Karl-Oskar Smed
10.1016/j.softx.2016.01.002,SoftwareX,4,Johan Nysjö
10.1016/j.softx.2016.01.002,SoftwareX,5,Robin Strand
10.1016/j.softx.2016.04.001,SoftwareX,1,Michael Ruby
10.1016/j.softx.2016.04.007,SoftwareX,1,F. Pina-Martins
10.1016/j.softx.2016.04.007,SoftwareX,2,O.S. Paulo
10.1016/j.softx.2016.05.001,SoftwareX,1,L. Vanfretti
10.1016/j.softx.2016.05.001,SoftwareX,2,T. Rabuzin
10.1016/j.softx.2016.05.001,SoftwareX,3,M. Baudette
10.1016/j.softx.2016.05.001,SoftwareX,4,M. Murad
10.1016/j.softx.2016.05.002,SoftwareX,1,P. Degenne
10.1016/j.softx.2016.05.002,SoftwareX,2,D. Lo Seen
10.1016/j.softx.2016.05.005,SoftwareX,1,R.O. Ocaya
10.1016/j.softx.2016.05.005,SoftwareX,2,J.J. Terblans
10.1016/j.softx.2016.05.004,SoftwareX,1,Jeffrey Bolan
10.1016/j.softx.2016.05.004,SoftwareX,2,Elise Hall
10.1016/j.softx.2016.05.004,SoftwareX,3,Chris Clifford
10.1016/j.softx.2016.05.004,SoftwareX,4,Brian Thurow
10.1016/j.softx.2016.07.002,SoftwareX,1,Marios Fragkoulis
10.1016/j.softx.2016.07.002,SoftwareX,2,Diomidis Spinellis
10.1016/j.softx.2016.07.002,SoftwareX,3,Panos Louridas
10.1016/j.softx.2016.07.004,SoftwareX,1,Luigi Vanfretti
10.1016/j.softx.2016.07.004,SoftwareX,2,Maxime Baudette
10.1016/j.softx.2016.07.004,SoftwareX,3,Achour Amazouz
10.1016/j.softx.2016.07.004,SoftwareX,4,Tetiana Bogodorova
10.1016/j.softx.2016.07.004,SoftwareX,5,Tin Rabuzin
10.1016/j.softx.2016.07.004,SoftwareX,6,Jan Lavenius
10.1016/j.softx.2016.07.004,SoftwareX,7,Francisco José Goméz-López
10.1016/j.softx.2016.08.002,SoftwareX,1,Balázs Zsigmond Horváth
10.1016/j.softx.2016.08.002,SoftwareX,2,Bence Blaske
10.1016/j.softx.2016.08.002,SoftwareX,3,Anita Szabó
10.1016/j.softx.2017.01.002,SoftwareX,1,Jean Pierre Charalambos
10.1016/j.softx.2017.12.004,SoftwareX,1,Garrett W. Melenka
10.1016/j.softx.2017.12.004,SoftwareX,2,Jason P. Carey
10.1016/j.softx.2017.08.001,SoftwareX,1,Olga Popova
10.1016/j.softx.2017.08.001,SoftwareX,2,Boris Popov
10.1016/j.softx.2017.08.001,SoftwareX,3,Dmitry Romanov
10.1016/j.softx.2017.08.001,SoftwareX,4,Marina Evseeva
10.1016/j.softx.2018.04.001,SoftwareX,1,Timofey Mukha
10.1016/j.softx.2018.04.001,SoftwareX,2,Mattias Liefvendahl
10.1016/j.softx.2016.12.002,SoftwareX,1,Michael E. Fortunato
10.1016/j.softx.2016.12.002,SoftwareX,2,Coray M. Colina
10.1016/j.softx.2016.11.001,SoftwareX,1,Ian H. Williams
10.1016/j.softx.2016.11.001,SoftwareX,2,Philippe B. Wilson
10.1016/j.softx.2018.04.003,SoftwareX,1,Jack McCubbine
10.1016/j.softx.2018.04.003,SoftwareX,2,Fabio Caratori Tontini
10.1016/j.softx.2018.04.003,SoftwareX,3,Vaughan Stagpoole
10.1016/j.softx.2018.04.003,SoftwareX,4,Euan Smith
10.1016/j.softx.2018.04.003,SoftwareX,5,Grant O’Brien
10.1016/j.softx.2018.05.004,SoftwareX,1,Yakubu Abdul-Salam
10.1016/j.softx.2017.07.004,SoftwareX,1,M. Imgrund
10.1016/j.softx.2017.07.004,SoftwareX,2,A. Arth
10.1016/j.softx.2017.06.005,SoftwareX,1,Daniele De Sensi
10.1016/j.softx.2017.06.005,SoftwareX,2,Massimo Torquati
10.1016/j.softx.2017.06.005,SoftwareX,3,Marco Danelutto
10.1016/j.softx.2016.10.001,SoftwareX,1,Sheng-Cheng Huang
10.1016/j.softx.2016.10.001,SoftwareX,2,Sara Lee
10.1016/j.softx.2016.10.001,SoftwareX,3,Allen Wang
10.1016/j.softx.2016.10.001,SoftwareX,4,Scott B. Cantor
10.1016/j.softx.2016.10.001,SoftwareX,5,Clement Sun
10.1016/j.softx.2016.10.001,SoftwareX,6,Kaili Fan
10.1016/j.softx.2016.10.001,SoftwareX,7,Gregory P. Reece
10.1016/j.softx.2016.10.001,SoftwareX,8,Min Soon Kim
10.1016/j.softx.2016.10.001,SoftwareX,9,Mia K. Markey
10.1016/j.softx.2016.10.002,SoftwareX,1,Mahdi Nabil
10.1016/j.softx.2016.10.002,SoftwareX,2,Alexander S. Rattner
10.1016/j.softx.2016.07.006,SoftwareX,1,Mario Mulansky
10.1016/j.softx.2016.07.006,SoftwareX,2,Thomas Kreuz
10.1016/j.softx.2016.08.001,SoftwareX,1,G. Pereira
10.1016/j.softx.2016.08.001,SoftwareX,2,M. McGugan
10.1016/j.softx.2016.08.001,SoftwareX,3,L.P. Mikkelsen
10.1016/j.softx.2016.09.001,SoftwareX,1,Chenhui Liu
10.1016/j.softx.2016.09.001,SoftwareX,2,Anuj Sharma
10.1016/j.softx.2016.09.001,SoftwareX,3,Edward Smaglik
10.1016/j.softx.2016.09.001,SoftwareX,4,Sirisha Kothuri
10.1016/j.softx.2017.04.004,SoftwareX,1,Salim Khalil
10.1016/j.softx.2017.04.004,SoftwareX,2,Mohamed Fakir
10.1016/j.softx.2017.02.001,SoftwareX,1,Jan M. Binder
10.1016/j.softx.2017.02.001,SoftwareX,2,Alexander Stark
10.1016/j.softx.2017.02.001,SoftwareX,3,Nikolas Tomek
10.1016/j.softx.2017.02.001,SoftwareX,4,Jochen Scheuer
10.1016/j.softx.2017.02.001,SoftwareX,5,Florian Frank
10.1016/j.softx.2017.02.001,SoftwareX,6,Kay D. Jahnke
10.1016/j.softx.2017.02.001,SoftwareX,7,Christoph Müller
10.1016/j.softx.2017.02.001,SoftwareX,8,Simon Schmitt
10.1016/j.softx.2017.02.001,SoftwareX,9,Mathias H. Metsch
10.1016/j.softx.2017.02.001,SoftwareX,10,Thomas Unden
10.1016/j.softx.2017.02.001,SoftwareX,11,Tobias Gehring
10.1016/j.softx.2017.02.001,SoftwareX,12,Alexander Huck
10.1016/j.softx.2017.02.001,SoftwareX,13,Ulrik L. Andersen
10.1016/j.softx.2017.02.001,SoftwareX,14,Lachlan J. Rogers
10.1016/j.softx.2017.02.001,SoftwareX,15,Fedor Jelezko
10.1016/j.softx.2017.08.007,SoftwareX,1,Daniel R. Aldrich
10.1016/j.softx.2017.08.007,SoftwareX,2,Cagri Ayranci
10.1016/j.softx.2017.08.007,SoftwareX,3,David S. Nobes
10.1016/j.softx.2017.11.003,SoftwareX,1,Çağatay Yıldız
10.1016/j.softx.2017.11.003,SoftwareX,2,Barış Kurt
10.1016/j.softx.2017.11.003,SoftwareX,3,Taha Yusuf Ceritli
10.1016/j.softx.2017.11.003,SoftwareX,4,Bülent Sankur
10.1016/j.softx.2017.11.003,SoftwareX,5,Ali Taylan Cemgil
10.1016/j.softx.2017.10.008,SoftwareX,1,K. Kraljić
10.1016/j.softx.2017.10.008,SoftwareX,2,L. Strüngmann
10.1016/j.softx.2017.10.008,SoftwareX,3,E. Fimmel
10.1016/j.softx.2017.10.008,SoftwareX,4,M. Gumbel
10.1016/j.softx.2016.10.005,SoftwareX,1,Florian Schumacher
10.1016/j.softx.2016.10.005,SoftwareX,2,Wolfgang Friederich
10.1016/j.softx.2016.10.004,SoftwareX,1,Mohammad AlHamaydeh
10.1016/j.softx.2016.10.004,SoftwareX,2,Mohamad Najib
10.1016/j.softx.2016.10.004,SoftwareX,3,Sameer Alawnah
10.1016/j.softx.2016.08.005,SoftwareX,1,T. Salles
10.1016/j.softx.2018.05.005,SoftwareX,1,Samantha Zambo
10.1016/j.softx.2018.05.005,SoftwareX,2,Todd Holland
10.1016/j.softx.2018.05.005,SoftwareX,3,Nathaniel Plant
10.1016/j.softx.2018.05.005,SoftwareX,4,Kevin Duvieilh
10.1016/j.softx.2018.05.005,SoftwareX,5,Paul Elmore
10.1016/j.softx.2018.05.005,SoftwareX,6,Will Avera
10.1016/j.softx.2018.05.005,SoftwareX,7,Brian Bourgeois
10.1016/j.softx.2018.05.005,SoftwareX,8,A. Louise Perkins
10.1016/j.softx.2018.05.005,SoftwareX,9,David Lalejini
10.1016/j.softx.2017.09.005,SoftwareX,1,Fatih Nar
10.1016/j.softx.2017.09.005,SoftwareX,2,Osman Erman Okman
10.1016/j.softx.2017.09.005,SoftwareX,3,Atilla Özgür
10.1016/j.softx.2017.09.005,SoftwareX,4,Müjdat Çetin
