batch_id,index,operation,status,error,message,entity_id,raw_input
44746,0,set_statement,Done,,,Q130904060,"Q130904060|P921|Q140795082|S854|""https://dl.acm.org/doi/10.1145/3687998.3717036""|S813|+2026-06-18T00:00:00Z/11"
44746,1,set_statement,Done,,,Q140795082,"Q140795082|P1343|Q130904060|S854|""https://dl.acm.org/doi/10.1145/3687998.3717036""|S813|+2026-06-18T00:00:00Z/11"
44746,2,set_statement,Done,,,Q130953088,"Q130953088|P921|Q140795083|S854|""https://dl.acm.org/doi/10.1145/3687998.3717042""|S813|+2026-06-18T00:00:00Z/11"
44746,3,set_statement,Done,,,Q140795083,"Q140795083|P1343|Q130953088|S854|""https://dl.acm.org/doi/10.1145/3687998.3717042""|S813|+2026-06-18T00:00:00Z/11"
44746,4,set_statement,Done,,,Q130808191,"Q130808191|P921|Q140795084|S854|""https://dl.acm.org/doi/10.1145/3687998.3717041""|S813|+2026-06-18T00:00:00Z/11"
44746,5,set_statement,Done,,,Q140795084,"Q140795084|P1343|Q130808191|S854|""https://dl.acm.org/doi/10.1145/3687998.3717041""|S813|+2026-06-18T00:00:00Z/11"
44746,6,set_statement,Done,,,Q135899875,"Q135899875|P921|Q140795085|S854|""https://dl.acm.org/doi/10.1145/3687998.3717054""|S813|+2026-06-18T00:00:00Z/11"
44746,7,set_statement,Done,,,Q140795085,"Q140795085|P1343|Q135899875|S854|""https://dl.acm.org/doi/10.1145/3687998.3717054""|S813|+2026-06-18T00:00:00Z/11"
44746,8,set_statement,Done,,,Q131118333,"Q131118333|P921|Q140795086|S854|""https://dl.acm.org/doi/10.1145/3687998.3717037""|S813|+2026-06-18T00:00:00Z/11"
44746,9,set_statement,Done,,,Q140795086,"Q140795086|P1343|Q131118333|S854|""https://dl.acm.org/doi/10.1145/3687998.3717037""|S813|+2026-06-18T00:00:00Z/11"
44746,10,create_item,Done,,,Q140795165,CREATE
44746,11,set_label,Done,,,Q140795165,"LAST|Len|""Faster Algorithms for Fair Max-Min Diversification in R d"""
44746,12,set_description,Done,,,Q140795165,"LAST|Den|""scientific article published in SIGMOD"""
44746,13,set_statement,Done,,,Q140795165,"LAST|P31|Q18918145|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,14,set_statement,Done,,,Q140795165,"LAST|P356|""10.1145/3654940""|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,15,set_statement,Done,,,Q140795165,"LAST|P1476|en:""Faster Algorithms for Fair Max-Min Diversification in R d""|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,16,set_statement,Done,,,Q140795165,"LAST|P1433|Q130602410|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,17,set_statement,Done,,,Q140795165,"LAST|P123|Q127992|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,18,set_statement,Done,,,Q140795165,"LAST|P577|+2024-05-29T00:00:00Z/11|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,19,set_statement,Done,,,Q140795165,"LAST|P407|Q1860|S248|Q5188229|S356|""10.1145/3654940""|S854|""https://api.crossref.org/works/10.1145/3654940""|S813|+2026-06-18T00:00:00Z/11"
44746,20,set_statement,Done,,,Q140795165,"LAST|P921|Q140795087|S854|""https://dl.acm.org/doi/10.1145/3687998.3717058""|S813|+2026-06-18T00:00:00Z/11"
44746,21,create_item,Done,,,Q140795166,CREATE
44746,22,set_label,Done,,,Q140795166,"LAST|Len|""Can Learned Indexes be Built Efficiently? A Deep Dive into Sampling Trade-offs"""
44746,23,set_description,Done,,,Q140795166,"LAST|Den|""scientific article published in SIGMOD"""
44746,24,set_statement,Done,,,Q140795166,"LAST|P31|Q18918145|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,25,set_statement,Done,,,Q140795166,"LAST|P356|""10.1145/3654919""|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,26,set_statement,Done,,,Q140795166,"LAST|P1476|en:""Can Learned Indexes be Built Efficiently? A Deep Dive into Sampling Trade-offs""|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,27,set_statement,Done,,,Q140795166,"LAST|P1433|Q130602410|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,28,set_statement,Done,,,Q140795166,"LAST|P123|Q127992|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,29,set_statement,Done,,,Q140795166,"LAST|P577|+2024-05-29T00:00:00Z/11|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,30,set_statement,Done,,,Q140795166,"LAST|P407|Q1860|S248|Q5188229|S356|""10.1145/3654919""|S854|""https://api.crossref.org/works/10.1145/3654919""|S813|+2026-06-18T00:00:00Z/11"
44746,31,set_statement,Done,,,Q140795166,"LAST|P921|Q140795088|S854|""https://dl.acm.org/doi/10.1145/3687998.3717055""|S813|+2026-06-18T00:00:00Z/11"
44746,32,create_item,Done,,,Q140795167,CREATE
44746,33,set_label,Done,,,Q140795167,"LAST|Len|""Query Refinement for Diverse Top-k Selection"""
44746,34,set_description,Done,,,Q140795167,"LAST|Den|""scientific article published in SIGMOD"""
44746,35,set_statement,Done,,,Q140795167,"LAST|P31|Q18918145|S248|Q5188229|S356|""10.1145/3654969""|S854|""https://api.crossref.org/works/10.1145/3654969""|S813|+2026-06-18T00:00:00Z/11"
44746,36,set_statement,Done,,,Q140795167,"LAST|P356|""10.1145/3654969""|S248|Q5188229|S356|""10.1145/3654969""|S854|""https://api.crossref.org/works/10.1145/3654969""|S813|+2026-06-18T00:00:00Z/11"
44746,37,set_statement,Done,,,Q140795167,"LAST|P1476|en:""Query Refinement for Diverse Top-k Selection""|S248|Q5188229|S356|""10.1145/3654969""|S854|""https://api.crossref.org/works/10.1145/3654969""|S813|+2026-06-18T00:00:00Z/11"
44746,38,set_statement,Done,,,Q140795167,"LAST|P1433|Q130602410|S248|Q5188229|S356|""10.1145/3654969""|S854|""https://api.crossref.org/works/10.1145/3654969""|S813|+2026-06-18T00:00:00Z/11"
44746,39,set_statement,Done,,,Q140795167,"LAST|P123|Q127992|S248|Q5188229|S356|""10.1145/3654969""|S854|""https://api.crossref.org/works/10.1145/3654969""|S813|+2026-06-18T00:00:00Z/11"
